,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,适宜人群,周边配套,用水类型,用电类型,燃气价格,户型介绍,装修描述,税费解析,权属抵押,售房详情,交通出行,别墅类型
2810,['佳兆业玖珑山'],西湖-转塘,120.066509,30.148075,335,38431,提前预约随时可看,103115759345,22,4室2厅1厨1卫,低楼层 (共11层),87.17㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,一梯两户,有,2021-06-25,商品房,2016-04-21,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210622VA423014,"
                    满五唯一！四房一卫，户型好，得房率高，小区环境好，
                  ","
                    佳兆业玖珑山奠址杭州之江旅游度假区，项目总建筑面积约10万方，项目位于八角路与镇南路交叉口，南对西湖景区群山余脉灵山风景区，北邻双流公园，高档楼盘林立，医疗、体育、休闲、创意等日益齐全
                  ","
                    国际高尔夫球场，风景优异， 生活配套：华润万家，世纪联华，便利店等 医院：西湖区第二人民医院，浙江人民医院望江山院区 驾校：杭州昌盛驾校 银行：中国农业银行，杭州联合银行，中国邮政银行等：游游儿童游乐园，麦鸿时尚酒店，布丁酒店
                  ",,"
                    地铁六号线音乐学院地铁站400米，霞明街地铁站900米 八角亭(公交站)121米：189路;1400路2八角亭东(公交站)261米：189路3沙泥塘(公交站)452米：189路;1400路4沙泥塘北(公交站)560米：287路;514线路;514B线;595线路;(杭七中)(公交站)579米
                  ",,,,,,,,,,
2811,['天阳云筑'],西湖-转塘,120.072079,30.150588,345,40168,有租户需预约,103114662013,5,2室2厅1厨2卫,中楼层 (共17层),85.89㎡,平层,68.33㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2021-04-24,商品房,2015-10-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,171017081010,"
                    楼层好，视野宽阔 ，采光无遮挡，自住精装修 满五年


                  ","
                    天阳云筑周.围多重山麓环抱，四大风景区环伺，五百公顷原生林环合，东面钱塘，西倚双流城市公园，东北毗.邻中国美院，兼得西湖山水与醇厚人文，更坐拥杭州传统精装板块和价值千亿新城配套。


                  ","
                    商.业：象山国际广场、华润万家、江口大厦、世纪联华昊元之江时代、世纪联华、金街美地、上海华联；2银行：农行、杭州银行、建设银行；3公园：西湖国际高尔夫、*地海洋公园；4医院：杭州之江医院。


                  ",,"
                    之江大桥现已开通，连通之江新城与滨江。驾车即可直接经此进入滨江，不用再走钱塘江大桥和复兴大桥。紫之隧道长14.4公里，2012年12月开工，是杭州较大的市政交通项目。一头连接紫荆港路，一头连接之浦路。


                  ",,,,,,,,,,
2812,['朗郡庭园'],西湖-转塘,120.074702,30.169238,660,35905,有租户需预约,103111417132,20,5室1厅1厨2卫,高楼层 (共27层),183.82㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,两梯两户,有,2020-09-22,商品房,2011-12-31,普通住宅,满五年,共有,"
                                有抵押 100万元 省直公积金深圳发展银行杭州黄龙 业主自还
                              ",已上传房本照片,200908SS451327,"
                    一线高尔夫景观 楼层佳 采光好  南北全明  业主诚售
                  ","
                    朗郡庭园后面就是国际高尔夫球场，风景优异，*市：华润万家，世纪联华，便利*市等医院：西湖区第二人民医院，浙江人民医院望江山院区驾校：杭州昌盛驾校银行：中国农业银行，杭州联合银行，中国邮政银行等：游游儿童游乐园，麦鸿时尚酒店，布丁酒店
                  ","
                    *市：华润万家，世纪联华，便利*市等；医院：西湖区第二人民医院，浙江人民医院望江山院区；银行：中国农业银行，杭州联合银行，中国邮政银行等。
                  ",,"
                    
交通 318,308,4,39,202，331,395,840,1406等多条线路
                  ",,,,,,,,,,
2813,['湖畔花园太子苑'],西湖-文一西路,120.108087,30.295059,580,59142,提前预约随时可看,103117091601,14,3室1厅1厨1卫,高楼层 (共5层),98.07㎡,平层,93.3㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-09-08,商品房,2012-07-23,普通住宅,满五年,非共有,"
                                有抵押 92万元 杭州银行西湖支行
                              ",已上传房本照片,210909ZE533053,,,,,,,,,,,,,,,
2814,['南都花园'],西湖-文一西路,120.110552,30.293664,495,64953,下班后可看,103114347802,5,2室2厅1厨1卫,中楼层 (共7层),76.21㎡,平层,暂无数据,塔楼,南 北,砖混结构,简装,一梯两户,无,2021-04-08,商品房,2003-07-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210401NO409815,"
                    此房满五年，视野开阔，采光好.
                  ","
                    南都花园是杭州南都房地产公司的一个经典的小区，此小区的特点就是明厨明卫，户型正气.
                  ","
                    小区正南边就是大型苏宁易购数码城，往西1000米西城年华广场，北1500米城西银泰，距离西溪湿地景区也只有3000米，小区边上的骆家庄快速公交站也只有50米的距离，购物，出行，娱乐，工作都很方便！
                  ",,"
                    公交车站有骆家庄快速公交站，雅仕苑站，有蒋村公交车站，有众多的公交线路，25路，53路，134路，74路，43路等等！
                  ",,,,,,,,,,
2815,['古荡新村西区'],西湖-古荡,120.121242,30.280375,310,41164,有租户需预约,103113094949,16,2室2厅1厨1卫,高楼层 (共6层),75.31㎡,平层,69.76㎡,板楼,南,混合结构,精装,一梯两户,无,2021-01-17,已购公房,2010-12-10,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,180429003324,"
                    一梯两户精装修，采光好               的
                  ","
                    房子房龄是93年左右的，比其他几幢的要新一点。卫生间做了干湿分离的，很不错
                  ",,,"
                    装修是业主之前买进的时候婚房装修的，装修的很不错，卫生间做了干湿分离的
                  ",,,,"
                    离世纪联华约800米，离同德医院约1000米，工商银行营业网点均不*过8000米，社区医院就在小区里面，古荡小在古荡小区里的益乐路上，古荡新村东区有大型古荡农贸市场。
                  ","
                    交通出行方便，文三西路、丰潭路是主干道。小区旁边公交线路众多：古荡新村西、古荡新村、古荡小区、丰潭路文三西路口公交站。24K24路、41K41路、81K81路、270K270路、290K290路、K900路、K203路(夜间线)、K209路(夜间线)
                  ",,,,,
2816,['金地自在城栖霞居'],西湖-三墩,120.073673,30.335714,630,56937,提前预约随时可看,103113617457,30,3室1厅1厨2卫,高楼层 (共26层),110.65㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-03-02,已购公房,2019-09-29,普通住宅,满两年,共有,"
                                有抵押 179万元
                              ",已上传房本照片,190403558181,"
                    此房业主重新装修过，精装保养好，中高楼层客厅带阳台
                  ","
                    占地面积:364000平方米 建筑面积:850000平方米 物业管理附加信息:2元每平方米每月 开发商:杭州金地中天房地产发展有限公司 物业管理公司:金地物业管理有限公司
                  ","
                    金地广场，三墩新天地、五里塘河风情街、沃尔玛*市、永旺梦乐城，银泰等大型生活设施配套，还有池华街公交总站等交通设施
                  ",,"
                    
地铁2号线、四号线。三墩公交站、快速公交总站、快速公交2 项目三墩公交总站、金渡北路公交总站，拥有B支1、B2、37、204、349、403、860等等众多公交线路及四通八达的交通体系；项目可通过紫金港路与绕城高速连接，经古墩路与市区对接
                  ",,,,,,,,,,
2817,['金地自在城林溪里'],西湖-三墩,120.075108,30.337024,455,51159,提前预约随时可看,103113735725,42,3室2厅1厨1卫,高楼层 (共26层),88.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-03-08,商品房,2016-09-07,普通住宅,满五年,非共有,"
                                有抵押 300万元
                              ",已上传房本照片,210308EW238874,"
                    楼层高，客厅带阳台，采光充足，精装修自住保养好
                  ","
                    
适宜追求高品质生活的业主，拎包入住，省心省事。追求良好教育的家庭
                  ",,"
                    
板楼，格局方正，设计人性化，厨房，卫生间都带窗户，采光通风好
                  ","
                    金地开发商统一精装修交付，档次高！材料环保安全，品牌家电，实木家具。
                  ",,,,"
                    金地广场.三墩303生活广场，、五里塘河风情街、沃尔玛*市、银泰等大型配套。 中西医结合医院，永辉*市，KFC，星巴克，农贸市场，工商，建设，农业，中国银行
                  ","
                    地铁2号线、三墩公交终点站、快速公交终点站、快速公交2 项目近三墩公交总站、金渡北路公交总站，拥有B支1、B2、37、204、349、403、860等等众多公交线路及四通八达的交通体系；项目可通过紫金港路与绕城高速连接，经古墩路与市终点对接
                  ",,,,,
2818,['桃源春居'],西湖-嘉绿,120.119424,30.297044,798,44579,提前预约随时可看,103113623767,28,4室3厅1厨2卫,高楼层 (共7层),179.01㎡,跃层,暂无数据,板楼,南,砖混结构,精装,一梯五户,有,2021-03-03,商品房,1999-12-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210306XT856866,"
                    此房满五不唯一，交通便利，配套齐全，，，，，，，，
                  ","
                    位于益乐路与西斗门路交叉口，旁边就是天堂软件园，公交车站交通便利，靠文苑，物华，莲花港小区
                  ","
                    配套有翠苑农贸市场，世纪联华*市，物美*市，浙江省立同德医院.
                  ",,,,,,,,,,,,
2819,['黄龙雅苑'],西湖-黄龙,120.144588,30.275573,600,96759,提前预约随时可看,103114259945,31,2室1厅1厨1卫,低楼层 (共18层),62.01㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯七户,有,2021-04-03,商品房,2016-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210403CR567842,"
                    自住精装修，带大露台，小区环境好，物业管理规范。
                  ","
                    黄龙雅苑，总共由5幢房子组成，地理位置好，西面黄龙体育馆，南面黄龙洞。
                  ","
                    房龄新，有电梯，适合自住或者出租，黄龙洞和西湖景区近在咫尺，空气好，环境安静，也适合养老
                  ","
                    浙江大学西溪校区商场，黄龙沃尔玛*市；医院：市中医院，浙江医院；金融：浙大西溪校区邮局银行：华夏银行、招商银行、杭州银行、广发银行、光大银行等；景区：保俶塔，宝石山和西湖景区
                  ",,,,,,,,,,,
2820,['嘉南公寓小高层'],西湖-文一西路,120.101179,30.293146,800,61858,提前预约随时可看,103117082891,13,3室2厅1厨2卫,中楼层 (共11层),129.33㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,2021-09-08,商品房,2016-07-25,普通住宅,满五年,共有,"
                                有抵押 611万元 中国建设银行股份有限公司分行 客户偿还
                              ",已上传房本照片,210908IO408734,"
                    此房满五年唯一，户型正气，层次好，带电梯，阳光充足
                  ","
                    
此房带电梯，适合家里有老人带宝宝的客户，出行便利，配套齐全，旁边有菜场，紫金公园，紫金大厦，不临街，医疗设施齐全
                  ",,"
                    
房龄2000年，现浇框架结构，户型三开间朝南，采光充足，户型正气，主卧带大阳台出门20米就是星洲小xue，接宝宝方便，地铁400米文新2号线.房子带电梯，稀有房源
                  ",,,,,"
                    
房屋产权：房子为商品房 税费：房子满五年唯一，免增值税免个税
                  ",,,,,,
2821,['万科坤和玉泉'],西湖-西溪,120.070802,30.244109,640,49414,提前预约随时可看,103116454751,42,4室2厅1厨2卫,低楼层 (共11层),129.52㎡,平层,113.52㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,2021-08-05,商品房,2019-07-04,普通住宅,满两年,非共有,"
                                有抵押 279万元
                              ",已上传房本照片,210806ZL497060	,"
                    格局好 房龄新 带地暖空调 位置安静 总价低
                  ","
                    由万科开发建设集的一个大型人文生态社区，小区沿杨梅山路两侧分布小区环境优美，园区里修建有露天游泳池、登山游步道等健身设施，丰富业主的日常生活。
                  ","
                    
小区的各项配套成熟，杨梅山路两侧是商铺，有世纪联华、杭州银行、民生银行、蓝山咖啡、星巴克咖啡等设施，小区北侧大约4公里处是西溪印象城，小区西边大约3公里处是西溪医院，此外距离小区3公里范围内有建设银行、农业银行、工商银行等配套设施。
                  ",,"
                    小区交通出行很便捷，杨梅山路连接西溪路与留和路，距离天目山路、绕城高速、留泗路等杭州市交通主干道，无论是到武林广场，还是到之江、滨江等区域，都很方便；而且331381、B支7、1408等公交线路，更加方便了小区业主出行。
                  ",,,,,,,,,,
2822,['天阳云筑'],西湖-转塘,120.072079,30.150588,320,37327,有租户需预约,103112655652,34,3室1厅1厨2卫,低楼层 (共17层),85.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2020-12-15,商品房,2019-01-08,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,171203681267,"
                    楼层好，视野宽阔 ，采光无遮挡，自住精装修
                  ","
                    
天阳云筑周.围多重山麓环抱，四大风景区环伺，五百公顷原生林环合，东面钱塘，西倚双流城市公园，东北毗.邻中国美院，兼得西湖山水与醇厚人文，更坐拥杭州传统精装板块和价值千亿新城配套。
                  ","
                    商.业：象山国际广场、华润万家、江口大厦、世纪联华昊元之江时代、世纪联华、金街美地、上海华联；2银行：农行、杭州银行、建设银行；3公园：西湖国际高尔夫、*地海洋公园；4医院：杭州之江医院。
                  ",,"
                    之江大桥现已开通，连通之江新城与滨江。驾车即可直接经此进入滨江，不用再走钱塘江大桥和复兴大桥。紫之隧道长14.4公里，2012年12月开工，是杭州较大的市政交通项目。一头连接紫荆港路，一头连接之浦路。
                  ",,,,,,,,,,
2823,['紫金庭园'],西湖-文三西路,120.099028,30.277515,710,50970,有租户需预约,103113243135,27,4室2厅1厨2卫,中楼层 (共4层),139.3㎡,平层,暂无数据,塔楼,南,砖混结构,简装,一梯两户,无,2021-01-29,商品房,2005-09-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210130UP181198,"
                    此房满五，为您购房节省购房支出。中间楼层，清爽装修，业主诚售
                  ","
                    05年的纯商品房，莱茵达开发仿紫桂的外立面，目前看起来还是很漂亮，有排屋，有公寓配套设施比较完善。
                  ","
                    本房四房两卫，一梯两户户型正气，装修保养不错的，目前是出租的，租客也是高素质，很客气，看房提前预约都方便的
                  ",,,,,,"
                    紫金庭园属于城西蒋村区，紫金港河，紫金大道和西溪，西溪湿地。小区里面有游泳池、篮球场、网球场等运动休闲场所齐全。到莲花广场600米内、小区北门200米内西湖文新校区。医院，餐饮，娱乐休闲位于1500米内
                  ",,,,,,
2824,['九月森林'],西湖-留下,120.050375,30.22584,1280,50067,提前预约随时可看,103111646349,62,5室2厅1厨4卫,低楼层 (共3层),255.66㎡,,暂无数据,,南,钢混结构,毛坯,,,2020-10-09,商品房,2007-10-29,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,201115BU835998,"
                    西湖区的高档别墅园联排，绿城物业，整个楼盘以龙..
                  ","
                    小区是九月森林别墅园，绿城物业，小区安静，美丽。人文环境浓厚。
                  ","
                    配套设施齐全，出小区左转就是地铁口和美食街。休闲娱乐，农业银行。留和路向北是西溪印象城。配套是可以满足的。
                  ",,,,,,,,,,,,独栋
2825,['首开国风美域'],西湖-申花,120.0988,30.323273,445,49511,有租户需预约,103110817934,10,3室2厅1厨2卫,高楼层 (共33层),89.88㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2020-08-17,商品房,2018-05-28,普通住宅,满两年,共有,"
                                有抵押 195万元 招商银行股份有限公司杭州分行 业主自还
                              ",已上传房本照片,200819HO281112,"
                    首开楼盘，绿城物业，楼层好，视野开阔，采光充足，配套齐全
                  ","
                    该小区是绿城物业，门口有保安，门禁，外来人员需要登记，安保措施做的不错。小区内有监控设施。
                  ","
                    此房所在位置位于三墩镇南，浙江大学紫金港校区北，有世纪联华*市，农业银行，工商银行，杭州银行，中国银行，第二农贸市场，浙江医院，三墩影剧院，303美食广场和香港城，城西银泰，龙湖紫金天街。
                  ",,"
                    旁边石祥西路高架。公交车17路 143路 211路 296路 303B路 303路 37路 400路 97路
                  ",,,,,,,,,,
2826,['中旅紫金名门'],西湖-申花,120.091545,30.32321,888,57114,只周末可看,103110711427,139,4室2厅1厨2卫,低楼层 (共7层),155.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2020-08-11,商品房,2017-11-13,普通住宅,满两年,共有,"
                                有抵押 192万元 建设银行192万
                              ",已上传房本照片,200811OG413370,"
                    
此房格局通透户型，诚心出售，户型好，楼层好，采光无遮挡。
                  ","
                    
小区是港中旅开发商开发商，高低配置，高层五幢，洋房四幢，错落有致，环境优美。小区共9幢房子5幢高层和4幢洋房，共1319户，人车分流。
                  ","
                    
小区是16年刚交付的次新房，品牌开发商，绿化高，内有塑胶跑道和公园，户型反正，适合改善型客户。
                  ",,,,,,"
                    
地处紫荆花北路和振华路交叉口，东面就是浙江广播电视大学，南面是浙江大学紫金港校区，北面是五里塘河综合体（休闲娱乐为一体的）。
                  ",,,,,,
2827,['天阳云筑'],西湖-转塘,120.072079,30.150588,335,38981,提前预约随时可看,103110547835,21,3室2厅1厨1卫,中楼层 (共17层),85.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,2020-08-01,商品房,2018-04-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,171107104390,"
                    中间楼层采光好，视野佳，全新精装拎包入住
                  ","
                    天阳云筑周.围多重山麓环抱，四大风景区环伺，五百公顷原生林环合，东面钱塘，西倚双流城市公园，东北毗.邻中国美院，兼得西湖山水与醇厚人文，更坐拥杭州传统精装板块和价值千亿新城配套
                  ","
                    商.业：象山国际广场、华润万家、江口大厦、世纪联华昊元之江时代、世纪联华、金街美地、上海华联；2银行：农行、杭州银行、建设银行；3公园：西湖国际高尔夫、*地海洋公园；4医院：杭州之江医院。
                  ",,"
                    之江大桥现已开通，连通之江新城与滨江。驾车即可直接经此进入滨江，不用再走钱塘江大桥和复兴大桥。紫之隧道长14.4公里，2012年12月开工，是杭州较大的市政交通项目。一头连接紫荆港路，一头连接之浦路。
                  ",,,,,,,,,,
2828,['耀江文鼎苑'],西湖-申花,120.101319,30.303819,1535,108175,提前预约随时可看,103112138239,58,4室2厅1厨2卫,高楼层 (共18层),141.9㎡,跃层,116.7㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2020-11-09,商品房,2016-06-21,普通住宅,满五年,非共有,"
                                有抵押 500万元 农村信用社 客户偿还
                              ",已上传房本照片,201029SC989610,"
                    文鼎苑，低总价大跃层，带60方大露台
                  ","
                    小区共38幢，分一期和二期，一期1到19幢，二期20到38幢，里面有游泳池，健身房等配，有菜市场，有银行，是改善的优选
                  ","
                    文鼎苑东面是贯穿南北的古墩路，东边萍水西街上1000米有城西银泰城，南面是余杭塘路，有印象城和五洲国际广场，西面是紫荆花路，浙江大学紫金港校区，北面临萍水西街，学军紫金港校区
                  ",,"
                    地铁2号线5号线双地铁口三坝站出口距离距离文鼎苑北门70米处，距离小区东门100米有公交车站，B2，860，37，89，54,74，97，K 349，K 73， 93路车交通是十分方便便捷的。
                  ",,,,,,,,,,
2829,['文菁花苑'],西湖-翠苑,120.131533,30.295656,630,42794,提前预约随时可看,103112012169,49,3室2厅1厨2卫,低楼层 (共16层),147.22㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2020-11-01,商品房,2007-08-16,普通住宅,满五年,共有,"
                                有抵押 25万元
                              ",已上传房本照片,201102FQ430852,"
                    此房满五年  名下一套房子  精装修自住房子 采光很好
                  ","
                    同德医院、社区医院 银行：中国银行、招商银行、工商银行等 地铁：2号线 休闲娱乐：物美大卖场、农贸市场、星巴克、肯德基等
                  ",,,"
                    住宅房产交易税费：1.个人所得税：网签价*1% 业主税费。免征条件：满五且唯一2.契税：A.建筑面积9零面积及以下，网签价*%；B.建筑面积九十平以上：首套网签价*1.5%；二套网签价*2% 客户税费3.增值税：网签价*5.3% 业主税费 免征条件：交易满两年
                  ",,,,,,"
                    公交翠苑新村西站、公交花园西村站、公交古荡湾新村站、公交学院路文二路口站、公交翠苑一区站、公交文一路学院路口站、公交宋江村站 公交线路：11/K11、19/K19、25/K25、41/K41、43/K43、70/K70(区间)、K74、86/K86、156/K156、K278、303/K303
                  ",,,,
2830,['城北商贸园'],西湖-申花,120.100671,30.318323,385,28898,提前预约随时可看,103113111352,18,3室2厅1厨2卫,高楼层 (共6层),133.23㎡,跃层,暂无数据,板塔结合,南,混合结构,简装,一梯两户,无,2021-01-18,商品房,2005-03-08,普通住宅,满五年,共有,"
                                有抵押 100万元 平安银行 客户偿还
                              ",已上传房本照片,190731305585,"
                    交通便利,浙大旁, 配套成熟  ,房东诚心出售.
                  ","
                    本房所处的楼层不高，所以尤其适合家中有年迈的老人和年幼的小孩的家庭.
                  ",,"
                    该房为三室大房，采光较好。有两个卫生间 ,家里人多也比较方便                 
                  ","
                    交通出行十分便利,有地铁2号线——虾龙圩站，另外小区东门就有公交站143.17.37.303等公交所以出行方面是很便利

                  ",,,,"
                    配套有东边有城西银泰，南有印象城，西靠浙大紫金港校区和西溪银泰，北边有龙湖紫金天街
                  ",,,,,,
2831,['华苑公寓'],西湖-文一西路,120.104148,30.293615,591,91899,提前预约随时可看,103113174851,68,3室1厅1厨1卫,高楼层 (共6层),64.31㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2021-01-23,商品房,2008-09-12,普通住宅,满五年,共有,"
                                有抵押 240万元
                              ",已上传房本照片,180918529421,"
                    
此房满五不唯一，不沿马路采光好，三房中间楼层，边套诚心.
                  ","
                    公园：距离小区500米左右，有个紫金园，不同的季节种植不同的花草，内置小椅子，闲暇时候适合带家人朋友散散步 医院：距离小区1公里左右有绿城心血管医院，3公里左右有浙江省省立同德医院 商城：距离小区1公里以内有西城广场、印象城、五洲国际，
                  ",,,"
                    小区出口处就是286、186、860、89、43、25、24、54公交车站，出门500米就是西城医疗机构，800米的路程就是古墩印象城，肯德基，麦当劳，星巴克一样不少，星艺街菜场，文新夜市早晚不停，工商、农行、杭州联合银行，旁边地铁二号线已开通
                  ",,,,,,,,,,
2832,['新世纪花苑'],西湖-三墩,120.096638,30.330565,325,29267,有租户需预约,103114835082,44,3室1厅1厨1卫,高楼层 (共6层),111.05㎡,平层,99.64㎡,板楼,南,砖混结构,精装,一梯三户,无,2021-05-04,商品房,2013-02-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210508CS917932,"
                    
此房交通便利，中间楼层，采光充足，户型 通风好，看房方便
                  ","
                    所在区域：西湖 三墩 楼栋总数：32栋，建筑年代：1998-2002年，总户数：1093 户，物业类型：住宅，开发商：杭州城建开发有限公司绿，有花园公园
                  ","
                    三墩龙湖天街旁步行约300米；杭州银行，杭州联合银行，中国工商银行，中国建设银行，中国邮政银行。距离三墩第二农贸市场，浙江医院分院建成已投入使用。
                  ",,"
                    区门口公交路线：37路，143路，153路，211路，303B路，等到市区武林广场，西湖科技园等地，小区南面1公里左右上留石高架，东边一公里左右进莫干山路，西边杭长高速1公里左右，地铁2号线转1号线去杭州东站，2号地铁三墩口300米
                  ",,,,,,,,,,
2833,['西溪河东'],西湖-学军,120.147515,30.285966,1100,102881,提前预约随时可看,103114252110,0,3室1厅1厨1卫,高楼层 (共7层),106.92㎡,平层,暂无数据,板楼,南 西,混合结构,精装,一梯两户,无,2021-04-02,商品房,1998-09-15,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,180609379531,"
                    此房满五唯一，环境采光好，户型方正，看中随时可谈。
                  ","
                    房子位置好，出行方便，楼下是西溪公园，环境好，适合休闲居家。
                  ",,"
                    满五年唯一住房，契税是根据客户手上的住房套数来算，家庭唯一住房90方以下1%，90方以上1.5%。 家庭第二套改善性住房90方以下1%，90方以上2%
                  ",,,,,,,"
                    地铁：2号线下宁桥站，机场轨道快线修建中。公交站：下宁巷公交站，文二路马塍路口，文三路马塍路口。自驾：文三路，文二路，保俶北路，莫干山路，出行方便。
                  ",,,,
2834,['嘉里云荷廷'],西湖-之江,120.110755,30.176568,1246,70257,提前预约随时可看,103117795945,0,4室2厅1厨3卫,低楼层 (共16层),177.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-25,商品房,2021-02-07,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,211028LX636431,"
                    房子高楼层，视野开阔，精装修自住
                  ","
                    小区介绍： 云荷廷位于西湖名胜风景区南翼，近梅灵南路与之江路交汇处，比邻宋城主题公园，隶属之江国家旅游度假区。地上总建筑面积近25万平方米，由近22万平方米的纯高层住宅、2万余平方米的商、业、街，以及一座幼稚幼儿园组成。
                  ","
                    商场：世纪联华、华润万家、之江银泰；医院：西湖区第二人民医院、浙江省人民医院望江山分院；邮局：转塘镇邮局；银行：杭州联合农村合作银行宋城分理处、农行、工行、招行；其他：宋城景区；小区内部配套：郑的牛，罗森便利店;
                  ",,"
                    
开发商统一精装加业主加装软装 ，硬装都是进口材料，中 央空调地暖都有，很适合自住
                  ",,,,,"
                    目前还有中信银行抵押，可以自己偿还，房子楼层好，视野开阔。。
                  ",,"
                    
公交：K308、K504、Y5、观光8号线、k354均到之江路宋城站下可到达公元沐桥，项目距西湖西线约8公里。去市区之江路，去城西紫之隧道，去滨江之江大桥，高速口杭州南，
                  ",,,
2835,['融创瑷骊山'],西湖-转塘,120.07127,30.148545,300,33953,有租户需预约,103107930672,11,2室1厅1厨2卫,高楼层 (共12层),88.36㎡,跃层,72.22㎡,板塔结合,南 北,钢混结构,简装,六梯四户,有,2020-03-09,商品房,2015-11-03,普通住宅,满五年,非共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片,200402725218,"
                    采光充足，配套齐全，视野很好，可直接入住
                  ","
                    
融科瑷骊山外身居之江旅游度假区内，周 边有西湖国际高尔夫、度假村等高尚配套，社区内有2万㎡英式园林景观可玩可赏。项目秉承英伦都铎式建筑风格，打造专属主流尊崇所享的山地景观住宅社区
                  ","
                    
商场：世纪华联转塘店、华润万家、首尔印象、摩登、大型主题公园宋城 休闲：西湖高尔夫、西湖风景名胜区。农业银行转塘储蓄所
                  ",,"
                    
八角亭(公交站)121米地址：189路;1400路2八角亭东(公交站)261米地址：189路3沙泥塘(公交站)452米地址：189路;1400路4沙泥塘北(公交站)560米地址：287路;514A线;514B线;沙泥塘北(杭七中)(公交站)579米
                  ",,,,,,,,,,
2836,['龙湖水晶郦城'],西湖-良渚,120.072509,30.348897,460,51593,提前预约随时可看,103106038302,32,3室2厅1厨1卫,高楼层 (共24层),89.16㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2019-09-09,商品房,2019-07-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190716676369,"
                    此房中楼层 东边套 南北通风  光线充足 可看小区景
                  ","
                    小区中部有戏水池，两边有凉亭，每幢楼下都有休息椅及运动设施。6幢有儿童游乐场和400m橡胶跑道，可以进行亲子活动。眼球所到之处，绿植遍布，生机勃勃。同时呢，保安24小时值班，出入刷卡，陌生人进入需要登记，保安定时巡查小区，住的安心。
                  ","
                    两房一厅朝南，客厅带阳台，双阳台设计。 全明设计，通风好。 两梯四户，户型使用面积高
                  ",,,,,,"
                    区地下停车位有800个，共有住户848户，停车方便。另外有共享汽车停车场，东门有公交站，北门到地铁白洋站c口800m，开车可以由金庄路上古墩路，或者由甲来路上绕城。
                  ",,,,,,
2837,['恩济花苑'],西湖-文一西路,120.113087,30.288597,730,43531,有租户需预约,103104845042,36,4室2厅1厨2卫,中楼层 (共6层),167.7㎡,跃层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2019-05-26,商品房,2004-04-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190522786971,"
                    房东诚心 看房方便的  采光和视野都不错
                  ","
                    跃层格局  难道的户型  适宜一家多口的 居住  欢迎您随时的光临
                  ",,,,,,,"
                    房子买来已经满5年了  没有增值税的 为你购房节省一大笔  的成本
                  ",,"
                    房子装修不错的 清爽干净  要求不高的话 可以直接入住的  或者买来直接出租
                  ",,,,
